table,rows_in,rows_out,rejected,timestamp,runtime_s
companies,92,92,0,2026-06-21T12:48:53,0.1
sectors,92,92,0,2026-06-21T12:48:53,0.022
profitandloss,1276,1073,203,2026-06-21T12:48:53,0.04
balancesheet,1312,1140,172,2026-06-21T12:48:53,0.039
cashflow,1187,1063,124,2026-06-21T12:48:53,0.031
analysis,20,16,4,2026-06-21T12:48:53,0.014
documents,1585,1456,129,2026-06-21T12:48:53,0.034
prosandcons,16,14,2,2026-06-21T12:48:53,0.013
stock_prices,5520,5520,0,2026-06-21T12:48:53,0.074
market_cap,552,552,0,2026-06-21T12:48:53,0.021
financial_ratios,1184,1041,143,2026-06-21T12:48:53,0.042
peer_groups,56,56,0,2026-06-21T12:48:53,0.016
