metric,P10,P25,P50,P75,P90,Mean,Std,n
Net Profit Margin %,4.62,7.25,14.21,20.35,29.25,20.02,45.18,92
Operating Profit Margin %,9.83,15.97,25.38,38.29,83.7,34.07,27.05,90
Return on Equity %,8.34,11.55,15.8,23.69,37.29,20.7,17.3,88
Return on Capital Employed %,3.41,7.25,13.0,23.53,55.22,24.53,33.86,85
Return on Assets %,1.13,2.4,5.9,12.85,19.39,8.93,9.22,88
Debt to Equity,0.01,0.06,0.43,1.59,6.45,1.67,2.86,91
Interest Coverage,1.61,3.18,11.36,58.09,192.29,126.13,485.94,91
Asset Turnover,0.07,0.21,0.68,1.13,1.66,3.5,15.85,91
Free Cash Flow (Cr),-14435.1,-1290.0,1095.0,8348.5,20412.2,893.61,23126.51,92
Earnings Per Share,6.1,16.0,41.5,75.25,154.1,81.48,137.85,92
